post_time,post_name,post_author,post_publication,post_claps,post_responses,post_tag_1,post_tag_2,post_tag_3,post_tag_4,ranking,Searched
2016-12-09,The Public Policy Implications of Artificial Intelligence,Kim-Mai Cutler,Initialized Capital,0.219,14,Artificial Intelligence,Machine Learning,Startups,Venture Capital,76,Artificial Intelligence
2020-03-08,Presenting data visualization to engage your audience,Rachel,UX Collective,0.353,2,UX,Data Visualization,Design,Visual Design,130,AI
2021-01-23,6 Data Science Certificates To Level Up Your Career,Sara A. Metwalli,Towards Data Science,1.2,10,didn't_use,didn't_use,didn't_use,didn't_use,126,Data Science
2020-10-31,Python Data Visualization with Matplotlib  Part 2,Rizky Maulana Nurhidayat,Towards Data Science,0.442,2,didn't_use,didn't_use,didn't_use,didn't_use,152,AI
2018-01-15,Your guide to Data Visualization for Comparison,Shashank Sahay,Muzli - Design Inspiration,2.7,7,Data Visualization,UX,Design,Data Science,45,AI
2021-02-05,How hackers are finding creative ways to steal gift cards using artificial intelligence.,Al3x9a,ITNEXT,0.337,7,Hacking,Programming,Artificial Intelligence,Blackhat,113,Artificial Intelligence
2017-03-21,"If Data Visualization is So Hot, Why Are People Leaving?",Elijah Meeks,Independent,0.787,13,Data Visualization,Design,didn't_use,didn't_use,41,AI
2018-12-31,10 Data Science Tools I Explored in 2018,Ben Weber,Towards Data Science,1.91,7,Data Science,Deep Learning,Machine Learning,Python,130,Data Science
2021-02-03,All The Mathematics You Need For Artificial Intelligence,Jason Dsouza,Towards Data Science,0.273,1,Artificial Intelligence,Technology,Data Science,Python,101,Artificial Intelligence
2019-03-06,Best Data and Big Data Visualization Techniques,Sciforce,Sciforce,0.37,1,who we are,ai,healthcare,nlp,135,AI
2018-07-15,Why Did Artificial Intelligence Fail in the FIFA World Cup 2018?,Kaveh Bakhtiyari,Futurist Zone,2.0,35,didn't_use,didn't_use,didn't_use,didn't_use,26,Artificial Intelligence
2018-09-27,"Building safe artificial intelligence: specification, robustness, and assurance",DeepMind Safety Research,Independent,2.1,7,Artificial Intelligence,Machine Learning,Deepmind,Ai Safety,56,Artificial Intelligence
2019-04-15,Interactive Data Visualization with Vega,Déborah Mesquita,Towards Data Science,0.264,2,Data Visualization,Towards Data Science,Data Science,Layout,147,AI
2019-04-24,Mapmaking in the Age of Artificial Intelligence,Tim Wallace,descarteslabs-meditations,0.371,1,Company,Platform,Business,Science,103,Artificial Intelligence
2018-05-21,What is the Role of Journalists in Holding Artificial Intelligence Accountable?,Francesco Marconi,WSJ Digital Experience & Strategy,0.503,2,Artificial Intelligence,Journalism,Algorithms,Ethics,135,Artificial Intelligence
2017-04-11,Strategic Innovation in Data Visualization Will Not Come From Tech,Elijah Meeks,Independent,0.396,12,Data Visualization,Design,Tech,didn't_use,117,AI
2018-05-27,Cousins of Artificial Intelligence,Seema Singh,Towards Data Science,1.1,0,Artificial Intelligence,Machine Learning,Deep Learning,Statistics,44,Artificial Intelligence
2017-04-05,WTF is Artificial Intelligence?,Sam DeBrule,Machine Learnings,1.4,15,Artificial Intelligence,Machine Learning,Technology,Startup,13,Artificial Intelligence
2017-04-26,Introducing GEs data visualization framework for IoT,Dave Cronin,GE Design,0.221,5,JavaScript,Data Visualization,IoT,Ge,154,AI
2019-12-03,"Open-Sourcing Metaflow, a Human-Centric Framework for Data Science",Netflix Technology Blog,Netflix TechBlog,2.2,5,Data Science,Machine Learning,Productivity,Python,113,Data Science
2019-01-08,The Next Level of Data Visualization in Python,Will Koehrsen,Towards Data Science,15.3,64,Data Science,Data Visualization,Python,Education,1,AI
2021-02-24,An Ultimate Cheat Sheet for Data Visualization in Pandas,Rashida Nasrin Sucky,Towards Data Science,0.209,1,didn't_use,didn't_use,didn't_use,didn't_use,158,AI
2017-02-21,A New Cryptocurrency For Coordinating Artificial Intelligence on Numerai,Richard Craib,Numerai,2.5,29,Bitcoin,Blockchain,Ethereum,Artificial Intelligence,12,Artificial Intelligence
2017-04-30,A list of artificial intelligence tools you can use today  for personal use (1/3),Liam Hänel,Independent,7.1,70,Artificial Intelligence,Machine Learning,Deep Learning,IoT,3,Artificial Intelligence
2021-01-18,How To Apply Gestalt Psychology Principles in Data Visualization,Mala Deep,Nightingale,0.745,3,All stories,Topics in Data Viz,How To & Career,Historic Data Viz,137,AI
2020-05-31,How to Build a Data Science Portfolio Website,Julia Nikulski,Towards Data Science,1.2,5,didn't_use,didn't_use,didn't_use,didn't_use,152,Data Science
2017-02-08,The Two Paths from Natural Language Processing to Artificial Intelligence,Jonathan Mugan,Intuition Machine,0.8370000000000001,8,Machine Learning,Artificial Intelligence,Naturallanguageprocessing,Chatbots,37,Artificial Intelligence
2019-07-22,Top 16 Types of Chart in Data Visualization,Lewis Chou,Towards Data Science,1.3,1,didn't_use,didn't_use,didn't_use,didn't_use,55,AI
2017-03-08,"Artificial Intelligence, UX & The Future of Findability",spydergrrl,HackerNoon.com,0.141,3,UX,Artificial Intelligence,Information Architecture,AI,132,Artificial Intelligence
2017-10-14,Natural Stupidity is more Dangerous than Artificial Intelligence,Carlos E. Perez,Intuition Machine,2.8,24,Artificial Intelligence,Machine Learning,Deep Learning,Deep Learning Playbook,21,Artificial Intelligence
2020-02-09,Data Science Curriculum,Benjamin Obi Tayo Ph.D.,Towards AI,1.0,4,For Authors,Categories,Latest,About,165,Data Science
2019-12-09,What Board Games Teach Us About Data Visualization,Johannes Wirges,Nightingale,0.448,4,All stories,Topics in Data Viz,How To & Career,Historic Data Viz,140,AI
2021-03-13,17 types of similarity and dissimilarity measures used in data science.,Mahmoud Harmouch,Towards Data Science,1.8,10,Machine Learning,Data Science,Python,Mathematics,137,Data Science
2019-10-20,Top data visualization examples and dashboard designs,Shane Ketterman,UX Collective,1.8,3,didn't_use,didn't_use,didn't_use,didn't_use,19,AI
2017-03-22,"In Defense of Simplicity, A Data Visualization Journey",Irene Ros,Towards Data Science,0.226,3,Data Visualization,Design,Process,Towards Data Science,81,AI
2015-09-02,Getting into data visualization  where should I start?,Nick Brown,Data Visualization,0.8370000000000001,7,Data Science,Data Visualization,Data,Design,54,AI
2019-11-04,Data Science Minimum: 10 Essential Skills You Need to Know to Start Doing Data Science,Benjamin Obi Tayo Ph.D.,Towards Data Science,1.8,6,didn't_use,didn't_use,didn't_use,didn't_use,116,Data Science
2019-10-04,The Ultimate Data Science Prerequisite Learning List,Dario Radečić,Towards Data Science,1.8,10,didn't_use,didn't_use,didn't_use,didn't_use,121,Data Science
2017-12-08,Google leads in the race to dominate artificial intelligence,anonymous,Independent,2.2,1,didn't_use,didn't_use,didn't_use,didn't_use,25,Artificial Intelligence
2018-05-07,"Data Visualization, Fast and Slow",Elijah Meeks,Nightingale,1.1,13,Data Visualization,Data Science,Design,Historic Data Viz,46,AI
2019-02-18,Understanding How Artificial Intelligence Can Make Blockchain Safer and Smarter,Alessandro Mario Lagana Toschi,HackerNoon.com,0.017,2,Blockchain,Artificial Intelligence,Smart Contracts,Ai Blockchain,83,Artificial Intelligence
2017-09-16,My Self-Created Artificial Intelligence Masters Degree,Daniel Bourke,Towards Data Science,5.0,29,Machine Learning,Artificial Intelligence,Learning,Data Science,10,Artificial Intelligence
2017-10-13,Introduction to Numpy -1 : An absolute beginners guide to Machine Learning and Data science.,Rakshith Vasudev,HackerNoon.com,2.4,11,Machine Learning,Numpy,Data Science,Matrix,128,Data Science
2018-03-03,Personalized push notifications enabled by artificial intelligence,Pavel Kordík,Recombee blog,0.18,1,Machine Learning,Recommender Systems,Push Notification,Artificial Intelligence,171,Artificial Intelligence
2020-11-17,Data Visualization Cheat Sheet with Seaborn and Matplotlib,Chi Nguyen,Towards Data Science,0.477,3,didn't_use,didn't_use,didn't_use,didn't_use,108,AI
2020-12-22,The Map of Artificial Intelligence (2020),Viacheslav Osaulenko,The Startup,0.426,2,Artificial Intelligence,Machine Learning,Neural Networks,Neuroscience,117,Artificial Intelligence
2019-02-03,How Facebook Scales Artificial Intelligence & Machine Learning,Jamal Robinson,Independent,0.605,0,Machine Learning,Facebook,Artificial Intelligence,Cloud Computing,92,Artificial Intelligence
2020-11-01,7 Must-Haves in your Data Science CV,Elad Cohen,Towards Data Science,1.94,18,Data Science,Careers,Cv,Interview,108,Data Science
2018-12-10,Artificial Intelligence and Consciousness,Subhash Kak,Independent,1.2,21,Artificial Intelligence,Consciousness,Machine Learning,Mindfulness,48,Artificial Intelligence
2020-09-04,A Practical Guide for Data Visualization,Soner Yıldırım,Towards Data Science,0.181,0,didn't_use,didn't_use,didn't_use,didn't_use,178,AI
2019-12-12,The Best Free Data Science eBooks,Brenda Hali,Towards Data Science,1.4,4,didn't_use,didn't_use,didn't_use,didn't_use,134,Data Science
2019-11-19,Artificial Intelligence Books you should read in 2020,Przemek Chojecki,Towards Data Science,1.0,10,didn't_use,didn't_use,didn't_use,didn't_use,41,Artificial Intelligence
2020-04-04,14 Data Science Projects to do During Your 14 Day Quarantine,Terence Shin,Towards Data Science,3.1,8,didn't_use,didn't_use,didn't_use,didn't_use,45,Data Science
2018-11-12,5 Key Questions to Consider before Investing in Artificial Intelligence,Vishal Morde,DataDrivenInvestor,0.263,4,Artificial Intelligence,Machine Learning,Data Science,Business,148,Artificial Intelligence
2020-01-13,The Best book to Start your Data Science Journey,Benedict Neo,Towards Data Science,2.0,5,didn't_use,didn't_use,didn't_use,didn't_use,66,Data Science
2017-03-10,3 Common Mistakes in Data Visualization,Joanna Ngai,UX Collective,0.507,4,Data Visualization,Design,UX,didn't_use,106,AI
2020-08-11,The Best Data Science Certification Youve Never Heard Of,Nicole Janeway Bills,Towards Data Science,1.6,13,didn't_use,didn't_use,didn't_use,didn't_use,86,Data Science
2020-07-13,How to Create Brand Colors for Data Visualization Style Guidelines,Amy Cesal,Nightingale,0.778,5,All stories,Topics in Data Viz,How To & Career,Historic Data Viz,64,AI
2015-02-26,The Architecture of a Data Visualization,giorgia lupi,In Sight,2.2,14,Data Visualization,Design,Journalism,didn't_use,8,AI
2017-12-12,Artificial intelligence is guiding venture capital to start-ups,anonymous,Independent,0.928,7,didn't_use,didn't_use,didn't_use,didn't_use,63,Artificial Intelligence
2018-09-29,A Technical Look at How Criminals Use AI,ODSC - Open Data Science,Predict,1.8,5,Machine Learning,Data Science,Data,Technology,160,Data Science
2018-11-02,Why you shouldnt be a data science generalist,Jeremie Harris,Towards Data Science,11.0,49,Data Science,Towards Data Science,Machine Learning,Python,13,Data Science
2017-11-24,Beautiful Data Science Presentations,James Chen,Towards Data Science,5.4,21,Design,Data Science,Data Visualization,Machine Learning,36,Data Science
2018-12-22,Bayes Theorem: The Holy Grail of Data Science,Artem Oppermann,Towards Data Science,5.2,41,didn't_use,didn't_use,didn't_use,didn't_use,29,Data Science
2020-08-16,Full Stack Data Science: The Next Gen of Data Scientists Cohort,Jay Kachhadia,Towards Data Science,1.0,11,didn't_use,didn't_use,didn't_use,didn't_use,171,Data Science
2019-10-09,How to Create an Amazing Data Science Portfolio,Tyler Folkman,Towards Data Science,1.5,5,didn't_use,didn't_use,didn't_use,didn't_use,143,Data Science
2019-11-19,Data Science vs. Artificial Intelligence vs. Machine Learning vs. Deep Learning,Sunny Srinidhi,Towards Data Science,0.498,7,Machine Learning,Artificial Intelligence,Deep Learning,Data Science,79,Artificial Intelligence
2017-07-21,Human-Centered Artificial Intelligence,Mark Riedl,Independent,0.156,1,Artificial Intelligence,Computational Creativity,Human Centered Ai,Machine Learning,168,Artificial Intelligence
2018-09-03,Data Visualization  Best Practices and Foundations,Cameron Chapman,UX Planet,1.5,3,Data Visualization,Design,Graphic Design,Big Data,43,AI
2021-01-03,10 Statistical Concepts You Should Know For Data Science Interviews,Terence Shin,Towards Data Science,1.4,4,didn't_use,didn't_use,didn't_use,didn't_use,96,Data Science
2018-04-17,Bitcoin Data Science (Pt. 1): HODL Waves,Dhruv Bansal,Unchained Capital Blog,9.4,30,Collaborative Custody,Privacy,Team,Press,52,Data Science
2018-05-19,An Introduction to Geographical Data Visualization,Ryan Gotesman,Towards Data Science,0.7709999999999999,7,Data Visualization,Choropleth Maps,Data Science,didn't_use,62,AI
2016-12-21,Artificial Intelligence in the UK: Landscape and learnings from 226 startups,David Kelnar,MMC writes,0.45,15,Artificial Intelligence,Machine Learning,Startup,Deep Learning,50,Artificial Intelligence
2019-11-22,Best JavaScript Data Visualization Libraries for 2020,Veronika Rovnik,JavaScript in Plain English,0.7140000000000001,5,JavaScript,Web Development,Programming,Data Science,174,AI
2016-12-18,Artificial Intelligence Verticals (I): Insurance,Francesco Corea,Independent,0.183,4,didn't_use,didn't_use,didn't_use,didn't_use,162,Artificial Intelligence
2019-10-02,Top Python Libraries Used In Data Science,Tanu N Prabhu,Towards Data Science,1.1,4,didn't_use,didn't_use,didn't_use,didn't_use,180,Data Science
2020-02-14,"Top 20 free Data Science, ML and AI MOOCs on the Internet",Benedict Neo,Towards Data Science,2.8,9,didn't_use,didn't_use,didn't_use,didn't_use,42,Data Science
2020-09-09,Which Career is Better: A Data Scientist or an Artificial Intelligence Engineer,Albert Christopher,Analytics Vidhya,0.257,3,Data Science,Artificial Intelligence,Data Scientist,Ai Engineer,150,Artificial Intelligence
2017-05-08,The race is on for artificial intelligence. Heres who is winning.,Terren Peterson,We’ve moved to freeCodeCamp.org/news,0.26,4,Machine Learning,Technology,Startup,Artificial Intelligence,67,Artificial Intelligence
2018-06-20,Designing for Data Visualization,Arin Bhowmick,IBM Design,1.98,6,Data Visualization,UX,UX Design,Design,28,AI
2019-04-08,How BBC data journalists use R for data visualization,Pina Schipani,Hacks/Hackers London,0.39,0,ABOUT,ARTICLES,JOIN US,didn't_use,105,AI
2018-04-18,Artificial Intelligence  The Revolution Hasnt Happened Yet,Michael Jordan,Independent,51.0,190,Artificial Intelligence,Machine Learning,Statistics,Data Science,1,Artificial Intelligence
2016-02-08,Tiny Data Visualizations,Matthew Ström,Mission Log,0.274,3,Data Visualization,JavaScript,Design,Remote,76,AI
2018-02-13,Fighting Cancer with Artificial Intelligence: Part 0  Deep Learning,Andrew DeCotiis-Mauro,Towards Data Science,0.532,2,Deep Learning,Cancer,Machine Learning,Data Science,93,Artificial Intelligence
2018-08-08,Essential Math for Data Science,Tirthajyoti Sarkar,Towards Data Science,13.9,23,Machine Learning,Data Science,Mathematics,Artificial Intelligence,5,Data Science
2020-08-02,Interactive Data Visualization In Python with Pygal,Sara A. Metwalli,Towards Data Science,0.418,3,didn't_use,didn't_use,didn't_use,didn't_use,79,AI
2018-01-18,Artificial Intelligence: The Impact on Employment and the Workforce,George Krasadakis,The Innovation Machine,0.378,3,Artificial Intelligence,Ideas,Innovation,Leadership,134,Artificial Intelligence
2018-02-02,Jupyter Notebook Tricks for Data Science that Enhance your efficiency,mediumnok,codeburst,2.9,11,Jupyter Notebook Extension,Timing and profiling your function,nbdime,didn't_use,101,Data Science
2018-07-22,Data Science with Python: Intro to Data Visualization with Matplotlib,Ventsislav Yordanov,Towards Data Science,1.3,7,Data Visualization,Python,Matplot,Data Science,48,AI
2018-07-03,Artificial Intelligence for Inventory Management.,Remi AI,Independent,0.203,2,Artificial Intelligence,Inventory Management,Reinforcement Learning,Machine Learning,145,Artificial Intelligence
2019-09-11,9 Data Visualization Tools That You Cannot Miss in 2019,Lewis Chou,Towards Data Science,1.6,15,didn't_use,didn't_use,didn't_use,didn't_use,35,AI
2017-02-20,Compilation of free resources to get started with Artificial Intelligence quickly,Théo Szymkowiak,Independent,0.052000000000000005,0,Machine Learning,Artificial Intelligence,Scikit,didn't_use,170,Artificial Intelligence
2020-03-18,11 best Data Science classes if youre locked home because of Coronavirus,Rhea Moutafis,Towards Data Science,1.1,5,didn't_use,didn't_use,didn't_use,didn't_use,172,Data Science
2016-10-05,Semantics  What does data science reveal about Clinton and Trump ?,Maixent Chenebaux,Reputation Squad,0.787,57,Politics,2016 Election,Hillary Clinton,Donald Trump,99,Data Science
2019-12-30,2019 Was the Year Data Visualization Hit the Mainstream,Elijah Meeks,Nightingale,0.6509999999999999,2,All stories,Topics in Data Viz,How To & Career,Historic Data Viz,115,AI
2018-03-20,"Data Visualization with Bokeh in Python, Part II: Interactions",Will Koehrsen,Towards Data Science,1.6,11,Data Visualization,Python,Education,Programming,37,AI
2016-10-22,Write for Towards Data Science,TDS Editors,Towards Data Science,3.5,26,Join Us,Tds Team,Writers Guide,"My post has been refused, could you let me know why?",62,Data Science
2018-07-26,Top 10 roles in AI and data science,Cassie Kozyrkov,HackerNoon.com,4.98,13,Data Science,Machine Learning,Analytics,Data Science Roles,48,Data Science
2019-06-14,What 70% of Data Science Learners Do Wrong,Dan Becker,Towards Data Science,5.0,16,Data Science,Analytics,Learning To Code,", like permutation importance.",33,Data Science
2018-04-05,Designing a Data Visualization Dashboard Like It was a Game,Elijah Meeks,Nightingale,0.926,1,Data Visualization,Game Development,Data Science,Design,90,AI
2018-09-26,Topic Modeling and Data Visualization with Python/Flask,Ethan Jarrell,HackerNoon.com,0.408,2,Web Development,Topic Modeling,Data Visualization,Dailies,150,AI
2018-11-12,Data Visualization using Matplotlib,Badreesh Shetty,Towards Data Science,1.7,2,Data Visualization,Data Science,Matplotlib,Jupyter Notebook,22,AI
2017-09-21,Creepiest Stories in Artificial Intelligence Development,Luba Belokon,Cube Dev,1.1,3,Machine Learning,Artificial Intelligence,AI,Creepy,131,Artificial Intelligence
2019-01-13,Mathematics for Data Science,Ibrahim Sharaf ElDen,Towards Data Science,5.8,25,Machine Learning,Data Science,Mathematics,Statistics,28,Data Science
2018-08-26,Artificial Intelligence Will Make Us All an Entrepreneur,Erik P.M. Vermeulen,HackerNoon.com,1.1,11,Artificial Intelligence,Business,Entrepreneurship,Technology,69,Artificial Intelligence
2019-06-17,Handy Data Visualization Functions in matplotlib & Seaborn to Speed Up Your EDA,Manu Kalia,Better Programming,0.8140000000000001,7,Archive,Write For Us,didn't_use,didn't_use,52,AI
2018-02-05,A Comparative Analysis of Top 6 BI and Data Visualization Tools in 2018,Igor Bobriakov,ActiveWizards — AI & ML for startups,0.475,11,Data Visualization,Business Intelligence,Tableau,Data Analysis,83,AI
2016-07-11,How to write with artificial intelligence,Max Deutsch,Deep Writing,1.6,63,Machine Learning,Artificial Intelligence,Tech,didn't_use,22,Artificial Intelligence
2019-12-19,Plotting with Pandas: An Introduction to Data Visualization,Alan Jones,Towards Data Science,0.392,0,didn't_use,didn't_use,didn't_use,didn't_use,111,AI
2020-03-22,Top 26 Data Science YouTube Channels you should subscribe to in 2020 [Updated,Benedict Neo,Towards Data Science,1.3,10,didn't_use,didn't_use,didn't_use,didn't_use,163,Data Science
2018-08-29,Artificial Intelligence (AI): Salaries Heading Skyward,Stacy S.,Towards AI,1.5,13,Machine Learning,Artificial Intelligence,AI,Carnegie Mellon,36,Artificial Intelligence
2018-10-18,Review: Artificial Intelligence in 2018,Vladimir Fedak,Towards Data Science,0.353,3,Machine Learning,Artificial Intelligence,Big Data,Python,107,Artificial Intelligence
2019-12-03,How much Math do you really need in Data Science?,Dario Radečić,Towards Data Science,1.6,16,didn't_use,didn't_use,didn't_use,didn't_use,139,Data Science
2019-10-04,How I Learned Data Science And the 1 Course That Changed Everything,Oscar Kwok,Towards Data Science,2.5,20,didn't_use,didn't_use,didn't_use,didn't_use,63,Data Science
2018-01-14,Data science concepts you need to know! Part 1,Michael Barber,Towards Data Science,2.2,6,didn't_use,didn't_use,didn't_use,didn't_use,136,Data Science
2018-01-28,Data science you need to know! A/B testing,Michael Barber,Towards Data Science,1.99,7,didn't_use,didn't_use,didn't_use,didn't_use,129,Data Science
2016-02-12,Artificial Intelligence Could Disrupt the Live Music Space,Cortney Harding,Cuepoint,0.054000000000000006,8,Music,Tech,Music Business,DJ Culture,164,Artificial Intelligence
2018-06-05,Python for Data Science: 8 Concepts You May Have Forgotten,Conor Dewey,Towards Data Science,10.7,31,Python,Data Science,Programming,Machine Learning,9,Data Science
2019-12-10,Choosing the Right Tools for Data Visualization,Duncan Geere,Nightingale,0.359,0,All stories,Topics in Data Viz,How To & Career,Historic Data Viz,149,AI
2018-10-05,Heuristic Search in Artificial Intelligence  Python,Rinu Gour,Independent,0.147,3,Machine Learning,Artificial Intelligence,Python,AI,152,Artificial Intelligence
2019-03-22,"Downloadable: Cheat Sheets for AI, Neural Networks, Machine Learning, Deep Learning & Data Science PDF",Stefan Kojouharov,Becoming Human: Artificial Intelligence Magazine,3.6,20,Machine Learning,Neural Networks,Deep Learning,Artificial Intelligence,65,Data Science
2018-03-13,"Data Visualization for Artificial Intelligence, and Vice Versa",plotly,Plotly,0.465,3,Machine Learning,Data Visualization,Visual Analytics,Artificial Intelligence,123,AI
2018-08-23,Five books every data scientist should read that are not about data science,Isaac Faber,Towards Data Science,8.2,36,Data Science,Book Recommendations,Machine Learning,Learning,15,Data Science
2020-07-27,The Top 5 Data Science Certifications,Matt Przybyla,Towards Data Science,1.1,27,didn't_use,didn't_use,didn't_use,didn't_use,157,Data Science
2019-09-08,Data Science is Boring,Ian Xiao,Towards Data Science,4.0,22,didn't_use,didn't_use,didn't_use,didn't_use,41,Data Science
2017-07-11,A list of artificial intelligence tools you can use today  for businesses (2/3),Liam Hänel,Independent,1.3,38,didn't_use,didn't_use,didn't_use,didn't_use,24,Artificial Intelligence
2015-05-26,How Operations Research and Artificial Intelligence Overlap,Philip I. Thomas,Staffjoy Blog,0.3720000000000001,0,Machine Learning,Artificial Intelligence,All MLB games since 2004 have been scheduled by a computer,didn't_use,146,Artificial Intelligence
2017-01-12,6 Types of Artificial Intelligence Environments,Jesus Rodriguez,Independent,0.825,4,didn't_use,didn't_use,didn't_use,didn't_use,84,Artificial Intelligence
2019-06-05,Is Data Visualization the Next Design Challenge?,Stephanie Evergreen,Modus,1.7,8,Ideas,Craft,Career,didn't_use,38,AI
2019-02-27,How Artificial Intelligence can Improve Health and Productivity?,Mindsync,mindsync.ai,0.905,3,Healthcare,AI,Big Data,didn't_use,54,Artificial Intelligence
2015-11-13,Data Visualization in Python: Advanced Functionality in Seaborn,Insight,Insight,0.625,1,Data Science,Insight Data Science,Data Visualization,Seaborn,102,AI
2018-03-27,Can Artificial Intelligence Be Conscious?,Cameron McLain,Independent,0.6809999999999999,5,Artificial Intelligence,Consciousness,Venture Capital,AI,119,Artificial Intelligence
2017-07-11,"Artificial Intelligence, Machine Learning,  Deep Learning ?",Athiwat,Machines School,0.242,3,Artificial Intelligence,Machine Learning,Deep Learning,📑Data Science,115,Artificial Intelligence
2019-08-06,Data Science Made Easy: Interactive Data Visualization using Orange,Ng Wai Foong,Towards Data Science,0.339,0,didn't_use,didn't_use,didn't_use,didn't_use,160,AI
2020-06-08,Choosing Fonts for your Data Visualization,Tiffany France,Nightingale,0.92,6,All stories,Topics in Data Viz,How To & Career,Historic Data Viz,58,AI
2018-12-07,3rd Wave Data Visualization,Elijah Meeks,Nightingale,2.2,13,All stories,Topics in Data Viz,How To & Career,Historic Data Viz,29,AI
2019-02-08,Data Visualization Libraries for React Developers in 2020,Veronika Rovnik,DailyJS,2.1,7,JavaScript,Data Visualization,Analytics,React,34,AI
2020-12-28,A Collection of Advanced Data Visualization in Matplotlib and Seaborn,Rashida Nasrin Sucky,Towards Data Science,0.27,2,didn't_use,didn't_use,didn't_use,didn't_use,118,AI
2021-01-06,What French Bread Teaches Us About Artificial Intelligence (AI) And Machine Learning (ML),John Maeda,Independent,0.257,4,Machine Learning,Baguette,Bread,didn't_use,143,Artificial Intelligence
2018-03-30,What Video Games Have to Teach Us About Data Visualization,Elijah Meeks,Nightingale,0.913,3,Data Visualization,Design,Game Design,Data Science,73,AI
2017-01-23,There is No Escape from Blockchains and Artificial Intelligence Lawyers Better Be Prepared!,Erik P.M. Vermeulen,Independent,0.19,1,Blockchain,Artificial Intelligence,Legal,Creativity,172,Artificial Intelligence
2017-04-27,What You Should Do in a World of Artificial Intelligence (and No Privacy),Erik P.M. Vermeulen,Startup Grind,0.127,3,Artificial Intelligence,Big Data,Privacy,Storytelling,144,Artificial Intelligence
2020-01-16,"Color in Data Visualization: Less How, More Why",Connor Rothschild,Towards Data Science,0.361,0,didn't_use,didn't_use,didn't_use,didn't_use,126,AI
2021-03-13,3 Examples to Show Python Altair is More Than a Data Visualization Library,Soner Yıldırım,Towards Data Science,0.142,0,didn't_use,didn't_use,didn't_use,didn't_use,173,AI
2018-10-29,10 Free Data Visualization Tools,anonymous,Independent,0.504,5,Computing,Mobile,Tips & Tricks,Consumer Electronics,92,AI
2017-09-01,Introducing Semiotic for Data Visualization,Elijah Meeks,Independent,2.6,7,Data Visualization,React,Information Design,D3js,23,AI
2019-11-16,The Top 3 Books to Get Started with Data Science Right Now,Tyler Folkman,Towards Data Science,1.1,4,didn't_use,didn't_use,didn't_use,didn't_use,162,Data Science
2019-10-19,Data Sciences Most Misunderstood Hero,Cassie Kozyrkov,Towards Data Science,4.6,16,Data Science,Analytics,Technology,Artificial Intelligence,44,Data Science
2018-12-06,Animating Your Data Visualizations Like a Boss Using R,Isaac Faber,Towards Data Science,0.997,7,Data Visualization,Data Science,R,Plotly,39,AI
2020-11-21,Creating Flutter Application Integrated With Artificial Intelligence,Sophia Martin,Flutter Community,1.1,3,Mobile App Development,Mobile Apps,Technology,Business,46,Artificial Intelligence
2019-05-22,The Simpsons meets Data Visualization,Adam Reevesman,Towards Data Science,2.9,14,The Simpsons,Data Visualization,Python,Data Science,12,AI
2019-03-06,Data Visualization Society Logo: Behind the scenes,Amy Cesal,Nightingale,0.746,6,Data Visualization,Design,Logo Design,Data Science,132,AI
2019-08-23,How To Create A Thriving Data Visualization Culture,David Mora,Nightingale,0.693,7,All stories,Topics in Data Viz,How To & Career,Historic Data Viz,82,AI
2018-12-31,Top 7 libraries and packages of the year for Data Science and AI: Python & R,Favio Vázquez,Heartbeat,2.8,4,Data Science,Programming,Machine Learning Tools,Heartbeat,106,Data Science
2017-01-16,How to get your first job in Data Science?,Tomi Mester,Independent,2.6,34,Data Science,Learning To Code,Startup,Tech,54,Data Science
2019-02-12,A Bill of Rights for the Age of Artificial Intelligence,George M. Church,OneZero,2.5,31,didn't_use,didn't_use,didn't_use,didn't_use,34,Artificial Intelligence
2018-07-08,How to Build a Data Science Portfolio,Michael Galarnyk,Towards Data Science,18.8,88,Data Science,Interview,Portfolio,Python,2,Data Science
2020-02-27,How to Know If Artificial Intelligence Is About to Destroy Civilization,anonymous,Independent,0.4370000000000001,5,didn't_use,didn't_use,didn't_use,didn't_use,126,Artificial Intelligence
2016-11-16,The Non-Technical Guide to Machine Learning & Artificial Intelligence,Sam DeBrule,Machine Learnings,7.6,62,Artificial Intelligence,Machine Learning,Startups,Tech,2,Artificial Intelligence
2020-07-15,Ten SQL Concepts You Should Know for Data Science Interviews,Terence Shin,Towards Data Science,2.3,4,didn't_use,didn't_use,didn't_use,didn't_use,50,Data Science
2016-09-11,Artificial intelligence is hard to see,Kate Crawford,Independent,0.74,44,Artificial Intelligence,Machine Learning,Social Impact,didn't_use,64,Artificial Intelligence
2018-02-01,Python Basics for Data Science,Ventsislav Yordanov,Towards Data Science,3.6,11,Programming,Python,Data Science,Numpy,81,Data Science
2018-11-12,4 More Quick and Easy Data Visualizations in Python with Code,George Seif,Towards Data Science,1.7,3,didn't_use,didn't_use,didn't_use,didn't_use,27,AI
2018-08-01,5 Resources to Inspire Your Next Data Science Project,Conor Dewey,Towards Data Science,6.0,8,didn't_use,didn't_use,didn't_use,didn't_use,35,Data Science
2015-08-12,The State of Artificial Intelligence in Six Visuals,Venture Scanner,Independent,0.219,4,Machine Learning,Artificial Intelligence,Deep Learning,Venture Funding in Artificial Intelligence,75,Artificial Intelligence
2020-11-04,Keep your graphs and charts honest by avoiding these common data visualization pitfalls.,Amy Balliett,Better Humans,0.77,10,didn't_use,didn't_use,didn't_use,didn't_use,86,AI
